Name,Location,Campus Size,Power Capacity,Owner,Built Date,AIDC?,PUE,Leasing Price,Build Cost,Source(s)/Notes
ESR Group: OS2,Osaka,Baxtel size bucket: Medium,Not disclosed,ESR Group,Construction (Baxtel),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
ESR Group: OS3,Osaka,Baxtel size bucket: Large,Not disclosed,ESR Group,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
ESR Group: Keihanna OS4,"Keihanna, Osaka",Baxtel size bucket: Large,Not disclosed,ESR Group,Construction+Planned (Baxtel),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Flow Digital Infrastructure: Tokyo TK7,Tokyo,Baxtel size bucket: Small,Not disclosed,Flow Digital Infrastructure,Construction (Baxtel),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Flow Digital Infrastructure: TK8,Tokyo,Baxtel size bucket: Medium,Not disclosed,Flow Digital Infrastructure,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Goodman Group: Sagamihara,"Sagamihara, Kanagawa",Not disclosed,Not disclosed,Goodman Group,Land Bank (not yet under development),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel (distinct from Vantage's separate Sagamihara project)
Goodman Group: Shirakami,"Shirakami area, Japan (exact prefecture not disclosed by Baxtel)",Baxtel size bucket: Large,Not disclosed,Goodman Group,Construction+Planned (Baxtel),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
"I-NET Corp: Primary, Tokyo",Tokyo,Baxtel size bucket: Small,Not disclosed,I-NET Corp.,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
"I-NET Corp: Primary, Tokyo 2",Tokyo,Baxtel size bucket: Small,Not disclosed,I-NET Corp.,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
"I-NET Corp: Annex, Tokyo",Tokyo,"4,090 SqFt (Baxtel)","0 MW (Baxtel; likely support/office annex, not IT load space)",I-NET Corp.,Construction (Baxtel),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
"I-NET Corp: North, Hokkaido",Hokkaido,Not disclosed,Not disclosed,I-NET Corp.,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
HorizonIQ (INAP) Edogawa-ku,"Edogawa-ku, Tokyo",Not disclosed,Not disclosed,HorizonIQ,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
"HorizonIQ (INAP) Heiwajima, Ota-ku","Ota-ku, Tokyo",Not disclosed,Not disclosed,HorizonIQ,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
HorizonIQ (INAP) Koto-ku,"Koto-ku, Tokyo",Baxtel size bucket: Small,Not disclosed,HorizonIQ,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
HorizonIQ (INAP) Osaka,Osaka,Not disclosed,Not disclosed,HorizonIQ,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Mapletree: Tama-shi,"Tama-shi, Tokyo",Not disclosed,Not disclosed,Mapletree Redwood Data Centre Trust,Land Bank (not yet under development),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Mapletree: Osaka,Osaka,Baxtel size bucket: Small,Not disclosed,Mapletree Redwood Data Centre Trust,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Mitsui & Co.: Kanagawa,Kanagawa Pref.,Baxtel size bucket: Medium,Not disclosed,"Mitsui & Co., Ltd.",Not disclosed (Operational),No (Enterprise type per Baxtel),Not disclosed,Not disclosed,Not disclosed,Baxtel
SKYY Development: Koto City,"Koto City, Tokyo",Baxtel size bucket: Medium,Not disclosed,SKYY Development,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Marunouchi Direct Access,"Chiyoda-ku, Tokyo",Baxtel size bucket: Extra Small,Not disclosed,Marunouchi Direct Access ltd,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Marunouchi: Otemachi I,"Chiyoda-ku, Tokyo",Not disclosed,Not disclosed,Marunouchi Direct Access ltd,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Marunouchi: Otemachi II,"Chiyoda-ku, Tokyo",Not disclosed,Not disclosed,Marunouchi Direct Access ltd,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Telecom Center Building,Tokyo,Not disclosed,Not disclosed,Telecom Center Building,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Deft: Tokyo TY1 (Summit),Tokyo,Baxtel size bucket: Extra Small,Not disclosed,Summit,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Telehouse: Tokyo Tama 1,"Tama-shi, Tokyo",Baxtel size bucket: Small,Not disclosed,Telehouse (KDDI),Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Telehouse: Tokyo Tama 2,"Tama-shi, Tokyo",Baxtel size bucket: Small,Not disclosed,Telehouse (KDDI),Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Telehouse: Tokyo Fuchu,"Fuchu-shi, Tokyo",Not disclosed,Not disclosed,Telehouse (KDDI),Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel (distinct entry from IDC Frontier's separate Tokyo Fuchu facility)
Telehouse: Oyama,"Oyama, Tochigi(?) — exact location per Baxtel not fully specified",Baxtel size bucket: Small,Not disclosed,Telehouse (KDDI),Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Telehouse: Tokyo Shibuya,"Shibuya-ku, Tokyo",Baxtel size bucket: Small,Not disclosed,Telehouse (KDDI),Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Telehouse: Hiroshima,Hiroshima,Not disclosed,Not disclosed,Telehouse (KDDI),Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Telehouse: Nagoya,"Nagoya, Aichi",Not disclosed,Not disclosed,Telehouse (KDDI),Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Telehouse: Osaka Shinsaibashi,Osaka,Not disclosed,Not disclosed,Telehouse (KDDI),Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Telehouse: Osaka Umeda,Osaka,Not disclosed,Not disclosed,Telehouse (KDDI),Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Telehouse: Fukuoka,Fukuoka,"0 MW listed by Baxtel (likely placeholder, not literal)",Not disclosed,Telehouse (KDDI),Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
"SoftBank: Sakai, Osaka","Sakai City, Osaka","8,072,933 SqFt (Baxtel) — distinct from KDDI's separate Sakai, Osaka site",50 MW (Baxtel-confirmed),SoftBank Corp.,Construction+Planned; estimated launch Q4 2026 (Baxtel),"Yes (part of SoftBank's AI Data Center GPU Cloud platform push, per Baxtel-linked news)",Not disclosed,Not disclosed,Not disclosed,"Baxtel (listed as Softbank: Sakai, Osaka — note this is a separate project from ""KDDI Osaka Sakai Data Center"" already in this list, despite the shared city)"
CloudHQ: Cosmosquare KIX1,"Cosmosquare, Osaka",Baxtel size bucket: Medium,Not disclosed,CloudHQ,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
CloudHQ: KIX2,Osaka,Baxtel size bucket: Medium,Not disclosed,CloudHQ,Operational+Planned (Baxtel — phased),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
CloudHQ: KIX3,Osaka,Baxtel size bucket: Large,Not disclosed,CloudHQ,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Empyrion Digital: Tokyo JP1,Tokyo,Baxtel size bucket: Medium,Not disclosed,Empyrion Digital,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Empyrion Digital: Osaka JP2,Osaka,Baxtel size bucket: Small,Not disclosed,Empyrion Digital,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Kagoya Japan: Keihanna Lab A,"Keihanna, Osaka/Nara border",Baxtel size bucket: Extra Small,Not disclosed,Kagoya Japan,Not disclosed (Operational),No (Colo Reseller type),Not disclosed,Not disclosed,Not disclosed,Baxtel
Kagoya Japan: Keihanna Lab B,"Keihanna, Osaka/Nara border",Baxtel size bucket: Extra Small,Not disclosed,Kagoya Japan,Not disclosed (Operational),No (Colo Reseller type),Not disclosed,Not disclosed,Not disclosed,Baxtel
Optage Inc.: IIF Osaka Toyonaka,"Toyonaka, Osaka",Not disclosed,Not disclosed,Optage Inc.,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Optage Inc.: Shinmachi,Osaka,Not disclosed,Not disclosed,Optage Inc.,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Optage Inc.: Shinsaibashi,Osaka,Not disclosed,Not disclosed,Optage Inc.,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Optage Inc.: Sonezaki,Osaka,Baxtel size bucket: Extra Small,Not disclosed,Optage Inc.,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Optage Inc.: Umeda North,Osaka,Baxtel size bucket: Small,Not disclosed,Optage Inc.,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT TK1,Tokyo,Not disclosed,Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT TK2,Tokyo,Not disclosed,Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT TK3,Tokyo,Not disclosed,Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT TK4,Tokyo,Not disclosed,Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT TK6,Tokyo,Baxtel size bucket: Small,Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT TK8,Tokyo,Not disclosed,Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT TK9,Tokyo,Baxtel size bucket: Extra Small,Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT Tokyo 5,Tokyo,Baxtel size bucket: Small,Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT Yokohama 1,"Yokohama, Kanagawa",Baxtel size bucket: Small,Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT Mitaka West,"Mitaka-shi, Tokyo",Not disclosed,Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT DATA Otemachi,"Chiyoda-ku, Tokyo",Not disclosed,Not disclosed,NTT Data,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT Tokyo Otemachi Building,"Chiyoda-ku, Tokyo",Not disclosed,Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT: Tochigi Inter Industrial Park,Tochigi Pref.,Baxtel size bucket: Large,Not disclosed,NTT,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT Osaka OS4,Osaka,Not disclosed,Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT Osaka 5,Osaka,Baxtel size bucket: Small,Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT Osaka 7,Osaka,"392,883 SqFt (Baxtel)",Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT Keihanna OSK11,"Keihanna, Osaka",Baxtel size bucket: Medium,Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT OS2 (Telepark Dojima Building 2),Osaka,Not disclosed,Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT OS3 (Telepark Dojima Building 3),Osaka,Not disclosed,Not disclosed,NTT,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT: Nishiai,Osaka,Baxtel size bucket: Large,Not disclosed,NTT,Construction+Planned (Baxtel),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT Data Osaka Dojima (Building #4),Osaka,Not disclosed,Not disclosed,NTT Data,Not disclosed (Operational),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
"Japan Display Inc. (JDI): Mobara, Chiba","Mobara, Chiba",Not disclosed,Not disclosed,Japan Display Inc. (JDI),Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
KDDI Chikura Cable Landing Station,"Chikura, Chiba",Not disclosed,Not disclosed,KDDI,Not disclosed (Operational),"No (submarine cable landing station, not a compute DC)",Not disclosed,Not disclosed,Not disclosed,Baxtel
